2026-05-17 08:51:41 | INFO     | ytapi.access | OPTIONS /token/status → 200  (0.5 ms)
2026-05-17 08:51:41 | INFO     | ytapi.access | OPTIONS /token/status → 200  (0.7 ms)
2026-05-17 08:51:41 | INFO     | ytapi.access | GET /token/status → 200  (1.0 ms)
2026-05-17 08:51:41 | INFO     | ytapi.access | GET /token/status → 200  (0.8 ms)
2026-05-17 08:53:17 | INFO     | ytapi.access | GET /video/streams → 200  (6424.5 ms)
2026-05-17 08:53:17 | INFO     | ytapi.access | GET /merge/options → 200  (6425.1 ms)
2026-05-17 08:53:17 | INFO     | ytapi.access | GET /video/info → 200  (6426.2 ms)
2026-05-17 08:53:23 | INFO     | ytapi.access | GET /video/info → 200  (6143.2 ms)
2026-05-17 08:53:23 | INFO     | ytapi.access | GET /merge/options → 200  (6144.0 ms)
2026-05-17 08:53:23 | INFO     | ytapi.access | GET /video/streams → 200  (6145.0 ms)
2026-05-17 08:56:19 | INFO     | ytapi.access | GET /token/status → 200  (8.4 ms)
2026-05-17 08:56:19 | INFO     | ytapi.access | GET /token/status → 200  (0.6 ms)
2026-05-17 09:03:57 | INFO     | ytapi.access | OPTIONS /token/status → 200  (0.3 ms)
2026-05-17 09:03:57 | INFO     | ytapi.access | GET /token/status → 200  (0.7 ms)
2026-05-17 09:03:57 | INFO     | ytapi.access | GET /token/status → 200  (0.7 ms)
2026-05-17 09:05:06 | INFO     | ytapi.access | GET /token/status → 200  (0.9 ms)
2026-05-17 09:05:06 | INFO     | ytapi.access | GET /token/status → 200  (1.0 ms)
2026-05-17 09:07:55 | INFO     | ytapi.access | OPTIONS /search → 200  (0.2 ms)
2026-05-17 09:08:06 | INFO     | ytapi.access | GET /search → 200  (10285.7 ms)
2026-05-17 09:56:30 | INFO     | ytapi.access | OPTIONS /token/status → 200  (4.3 ms)
2026-05-17 09:56:30 | INFO     | ytapi.access | GET /token/status → 200  (13.7 ms)
2026-05-17 09:57:02 | INFO     | ytapi.access | OPTIONS /video/info → 200  (1.7 ms)
2026-05-17 09:57:02 | INFO     | ytapi.access | OPTIONS /video/streams → 200  (2.0 ms)
2026-05-17 09:57:02 | INFO     | ytapi.access | OPTIONS /merge/options → 200  (2.0 ms)
2026-05-17 09:57:07 | INFO     | ytapi.access | GET /video/info → 200  (4679.3 ms)
2026-05-17 09:57:09 | INFO     | ytapi.access | GET /video/streams → 200  (6810.2 ms)
2026-05-17 09:57:09 | INFO     | ytapi.access | GET /merge/options → 200  (2139.3 ms)
2026-05-17 09:57:24 | INFO     | ytapi.access | OPTIONS /merge/start → 200  (0.3 ms)
2026-05-17 09:57:26 | INFO     | ytapi.access | POST /merge/start → 200  (1131.1 ms)
2026-05-17 09:57:26 | INFO     | ytapi.access | GET /merge/progress/58f352a3573a → 200  (2.9 ms)
2026-05-17 09:58:24 | INFO     | ytapi.access | GET /merge/file/58f352a3573a → 200  (4.7 ms)
2026-05-17 09:59:01 | INFO     | ytapi.access | OPTIONS /search → 200  (0.2 ms)
2026-05-17 09:59:28 | INFO     | ytapi.access | GET /search → 200  (26914.7 ms)
2026-05-17 09:59:34 | INFO     | ytapi.access | OPTIONS /video/info → 200  (0.8 ms)
2026-05-17 09:59:34 | INFO     | ytapi.access | OPTIONS /video/streams → 200  (1.0 ms)
2026-05-17 09:59:34 | INFO     | ytapi.access | OPTIONS /merge/options → 200  (1.4 ms)
2026-05-17 09:59:35 | WARNING  | app.core.exceptions | Video unavailable: UCIPqzmQYnE is unavailable | path=http://localhost:8000/video/info?url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCIPqzmQYnE2HyZyLkoCJ3Iw
2026-05-17 09:59:35 | INFO     | ytapi.access | GET /video/info → 422  (819.4 ms)
2026-05-17 09:59:35 | WARNING  | app.core.exceptions | Video unavailable: UCIPqzmQYnE is unavailable | path=http://localhost:8000/merge/options?url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCIPqzmQYnE2HyZyLkoCJ3Iw
2026-05-17 09:59:36 | WARNING  | app.core.exceptions | Video unavailable: UCIPqzmQYnE is unavailable | path=http://localhost:8000/video/streams?url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCIPqzmQYnE2HyZyLkoCJ3Iw
2026-05-17 09:59:36 | INFO     | ytapi.access | GET /merge/options → 422  (1378.1 ms)
2026-05-17 09:59:36 | INFO     | ytapi.access | GET /video/streams → 422  (1378.3 ms)
2026-05-17 10:00:07 | INFO     | ytapi.access | OPTIONS /video/info → 200  (0.8 ms)
2026-05-17 10:00:07 | INFO     | ytapi.access | OPTIONS /video/streams → 200  (1.2 ms)
2026-05-17 10:00:07 | INFO     | ytapi.access | OPTIONS /merge/options → 200  (1.6 ms)
2026-05-17 10:00:12 | INFO     | ytapi.access | GET /video/info → 200  (5521.7 ms)
2026-05-17 10:00:14 | INFO     | ytapi.access | GET /merge/options → 200  (2222.4 ms)
2026-05-17 10:00:14 | INFO     | ytapi.access | GET /video/streams → 200  (2222.8 ms)
2026-05-17 10:38:24 | INFO     | ytapi.access | OPTIONS /video/info → 200  (0.7 ms)
2026-05-17 10:38:24 | INFO     | ytapi.access | OPTIONS /video/streams → 200  (1.2 ms)
2026-05-17 10:38:24 | INFO     | ytapi.access | OPTIONS /merge/options → 200  (1.6 ms)
2026-05-17 10:38:34 | INFO     | ytapi.access | GET /video/streams → 200  (10176.2 ms)
2026-05-17 10:38:34 | INFO     | ytapi.access | GET /merge/options → 200  (10176.0 ms)
2026-05-17 10:38:34 | INFO     | ytapi.access | GET /video/info → 200  (10176.8 ms)
2026-05-17 10:38:49 | INFO     | ytapi.access | GET /video/download → 200  (1202.4 ms)
2026-05-17 10:39:14 | INFO     | ytapi.access | OPTIONS /merge/start → 200  (0.3 ms)
2026-05-17 10:39:15 | INFO     | ytapi.access | POST /merge/start → 200  (1265.0 ms)
2026-05-17 10:39:15 | INFO     | ytapi.access | GET /merge/progress/e937629ee3c5 → 200  (1.0 ms)
